Keyword,Frequency
surgery,1602
history,1054
literature,691
education,527
evolution,365
pathology,280
probability,275
regression analysis,225
ethics,201
statistical analysis,154
meta analysis,151
machine learning,150
ethics committee,142
nervous system,141
multivariate analysis,118
pollution,116
logistic regression analysis,113
cognitive function,104
family history,101
cataract surgery,101
geometry,99
medical history,96
analysis variance,95
cardiac surgery,92
analysis revealed,87
renal function,84
epidemiology,83
central nervous system,83
learning algorithm,82
method used,77
immune system,76
algorithms,75
air pollution,73
reported literature,71
learning algorithms,69
regression model,69
analysis used,68
history diabetes,67
vlasov system,66
einstein vlasov system,61
structure function,60
algebra,59
ecology,59
univariate analysis,59
topology,58
oncology,58
crystal structure,58
physiology,58
educational level,58
blot analysis,57
scoring function,56
mouse model,55
genetics,54
biochemistry,52
cell function,52
analysis data,52
neurology,52
research ethics,50
microbiology,50
standard model,50
reinforcement learning,49
pharmacology,49
analysis using,47
used analysis,47
hoc analysis,47
analysis variance anova,46
mechanism action,46
surgery patients,46
included analysis,45
post hoc analysis,45
model used,44
calculus,43
model based,42
care system,42
descriptive statistics,41
function tests,41
way analysis,40
epilepsy surgery,40
3d method,40
review literature,39
health system,39
smoking history,39
immunotherapy,38
western blot analysis,38
method using,38
literature review,38
health care system,37
retrospective analysis,37
way analysis variance,37
algorithm based,36
analysis performed using,36
liver function,36
2d method,36
analysis conducted,35
level education,35
without history,35
functional theory,34
density functional theory,34
ms analysis,34
correlation analysis,34
